{'id': 1, 'name': 'John', 'department': 'IT'}
{'id': 2, 'name': 'Alice', 'department': 'CSC'}
{'id': 3, 'name': 'John', 'department': 'IT'}
{'id': 4, 'name': 'Alice', 'department': 'CSC'}
{'id': 5, 'name': 'John', 'department': 'IT'}
{'id': 6, 'name': 'Alice', 'department': 'CSC'}
{'id': 7, 'name': 'John', 'department': 'IT'}
{'id': 8, 'name': 'Alice', 'department': 'CSC'}
{'id': 9, 'name': 'John', 'department': 'IT'}
{'id': 10, 'name': 'Alice', 'department': 'CSC'}
{'id': 11, 'name': 'John', 'department': 'IT'}
{'id': 12, 'name': 'Alice', 'department': 'CSC'}
{'id': 13, 'name': 'John', 'department': 'IT'}
{'id': 14, 'name': 'Alice', 'department': 'CSC'}
{'id': 15, 'name': 'John', 'department': 'IT'}
{'id': 16, 'name': 'Alice', 'department': 'CSC'}
{'id': 17, 'name': 'John', 'department': 'IT'}
{'id': 18, 'name': 'Alice', 'department': 'CSC'}
{'id': 19, 'name': 'John', 'department': 'IT'}
{'id': 20, 'name': 'Alice', 'department': 'CSC'}
{'id': 21, 'name': 'John', 'department': 'IT'}
{'id': 22, 'name': 'Alice', 'department': 'CSC'}
{'id': 23, 'name': 'John', 'department': 'IT'}
{'id': 24, 'name': 'Alice', 'department': 'CSC'}
{'id': 25, 'name': 'John', 'department': 'IT'}
{'id': 26, 'name': 'Alice', 'department': 'CSC'}
